0,0,0,drone
9,0,-14,red
21,0,16,red
-8,0,-5,red
-25,0,-49,red
-26,0,1,red
-26,0,41,red
39,0,-47,red
-29,0,-42,red
40,0,30,red
17,0,-10,red
29,0,-36,red
-46,0,26,red
0,0,-3,red
12,0,25,red
26,0,-17,red
18,0,-26,red
47,0,-24,red
13,0,-44,red
-45,0,43,red
47,0,-7,red
-2,0,35,red
41,0,-42,red
-38,0,20,red
-38,0,22,red
-21,0,-16,red
-31,0,29,red
-9,0,-49,red
-39,0,-31,red
-44,0,23,red
-26,0,19,red
-24,0,49,red
0,0,5,red
-14,0,23,red
-29,0,29,red
31,0,-14,red
-38,0,-20,red
31,0,23,red
25,0,7,red
-21,0,-39,red
-24,0,10,red
19,0,10,red
14,0,40,red
11,0,-9,red
-27,0,1,red
-5,0,20,red
-23,0,9,red
-31,0,30,red
19,0,-20,red
-40,0,39,red
-16,0,18,red
-15,0,13,red
-26,0,-49,red
-22,0,13,red
18,0,-40,red
-23,0,41,red
-38,0,28,red
-30,0,-31,red
-14,0,2,red
-46,0,-31,red
21,0,41,red
-25,0,-48,red
37,0,-19,red
-16,0,13,red
6,0,-15,red
46,0,-20,red
10,0,-32,red
2,0,-18,red
-26,0,20,red
41,0,-30,red
22,0,-43,red
-18,0,26,red
7,0,4,red
16,0,-3,red
-37,0,-12,red
-49,0,-6,red
-28,0,33,blue
43,0,-5,blue
34,0,-9,blue
-43,0,20,blue
15,0,44,blue
-30,0,50,blue
-4,0,-4,blue
24,0,-8,blue
36,0,-49,blue
49,0,-31,blue
14,0,-46,blue
35,0,-16,blue
17,0,-20,blue
-9,0,33,blue
37,0,-30,blue
25,0,-36,blue
37,0,6,blue
40,0,-13,blue
49,0,33,blue
-9,0,17,blue
-42,0,33,blue
-20,0,20,blue
47,0,-33,blue
-46,0,-20,blue
7,0,23,blue
-14,0,47,blue
36,0,28,blue
-24,0,37,blue
26,0,-39,blue
44,0,-10,blue
48,0,-25,blue
44,0,-30,blue
-43,0,-41,blue
4,0,21,blue
46,0,9,blue
-22,0,-5,blue
-50,0,-14,blue
-18,0,27,blue
-3,0,11,blue
-17,0,22,blue
14,0,5,green
27,0,50,green
20,0,33,green
-45,0,-41,green
-3,0,-27,green
-44,0,-42,green
-42,0,39,green
10,0,-39,green
-12,0,37,green
-9,0,-30,green
8,0,-44,green
-32,0,-43,green
5,0,39,green
-49,0,-18,green
-2,0,-28,green
30,0,15,green
9,0,-49,green
14,0,23,green
-7,0,10,green
-47,0,47,green
-24,0,24,green
23,0,14,green
34,0,-4,green
-6,0,18,green
-7,0,-28,green
16,0,-14,green
-46,0,-16,green
-3,0,22,green
49,0,39,green
29,0,4,green
-12,0,-28,green
40,0,37,green
-21,0,40,green
26,0,-28,green
-2,0,-22,green
-22,0,-36,green
-39,0,11,green
46,0,7,green
-21,0,-37,green
-50,0,8,green
1,0,-43,yellow
37,0,4,yellow
3,0,34,yellow
-46,0,-39,yellow
49,0,-48,yellow
-39,0,-29,yellow
-20,0,-28,yellow
32,0,37,yellow
-12,0,16,yellow
0,0,31,yellow
8,0,32,yellow
11,0,39,yellow
-42,0,0,yellow
-18,0,1,yellow
47,0,-14,yellow
22,0,38,yellow
-9,0,40,yellow
24,0,-47,yellow
-40,0,-7,yellow
48,0,-42,yellow
-18,0,45,yellow
-12,0,-13,yellow
-35,0,22,yellow
-32,0,44,yellow
-48,0,-25,yellow
7,0,32,yellow
-22,0,-1,yellow
8,0,24,yellow
15,0,-36,yellow
5,0,47,yellow
-46,0,-14,yellow
17,0,-49,yellow
8,0,-27,yellow
20,0,-22,yellow
-8,0,-21,yellow
-3,0,19,yellow
0,0,46,yellow
45,0,21,yellow
-17,0,5,yellow
11,0,-39,yellow
